"OldName","NewName","Pattern"
"_Usage_and_Syntax_A_AhkVersion.ahk","Syntax_A_AhkVersion.ahk","_Usage_and_Syntax_ → Syntax_"
"_Usage_and_Syntax_A_LoopRegSubKey_conversion.ahk","Syntax_A_LoopRegSubKey_conversion.ahk","_Usage_and_Syntax_ → Syntax_"
"_Usage_and_Syntax_Associative_Arrays_ex1.ahk","Syntax_Associative_Arrays_ex1.ahk","_Usage_and_Syntax_ → Syntax_"
"_Usage_and_Syntax_Associative_Arrays_key-types.ahk","Syntax_Associative_Arrays_key-types.ahk","_Usage_and_Syntax_ → Syntax_"
"_Usage_and_Syntax_Cmd_Removal_Issue_#375.ahk","Syntax_Cmd_Removal_Issue_#375.ahk","_Usage_and_Syntax_ → Syntax_"
"_Usage_and_Syntax_Comment_Blocks.ahk","Syntax_Comment_Blocks.ahk","_Usage_and_Syntax_ → Syntax_"
"_Usage_and_Syntax_Empty_Str_Ass_ex1.ahk","Syntax_Empty_Str_Ass_ex1.ahk","_Usage_and_Syntax_ → Syntax_"
"_Usage_and_Syntax_Empty_Str_Ass_ex2.ahk","Syntax_Empty_Str_Ass_ex2.ahk","_Usage_and_Syntax_ → Syntax_"
"_Usage_and_Syntax_Indentation-Mix.ahk","Syntax_Indentation-Mix.ahk","_Usage_and_Syntax_ → Syntax_"
"_Usage_and_Syntax_mix_of_single_line_comments.ahk","Syntax_mix_of_single_line_comments.ahk","_Usage_and_Syntax_ → Syntax_"
"_Usage_and_Syntax_Var_Declaration_Keywords.ahk","Syntax_Var_Declaration_Keywords.ahk","_Usage_and_Syntax_ → Syntax_"
"Environment_BatchLines_ex1.ahk","Env_BatchLines_ex1.ahk","Environment_ → Env_"
"Environment_CaretXY_ex1.ahk","Env_CaretXY_ex1.ahk","Environment_ → Env_"
"Environment_CaretXY_ex2.ahk","Env_CaretXY_ex2.ahk","Environment_ → Env_"
"Environment_CaretXY_ex3.ahk","Env_CaretXY_ex3.ahk","Environment_ → Env_"
"Environment_Clipboard_ex1.ahk","Env_Clipboard_ex1.ahk","Environment_ → Env_"
"Environment_ClipWait_ex1.ahk","Env_ClipWait_ex1.ahk","Environment_ → Env_"
"Environment_EnvGet_ex1.ahk","Env_EnvGet_ex1.ahk","Environment_ → Env_"
"Environment_EnvGet_ex2.ahk","Env_EnvGet_ex2.ahk","Environment_ → Env_"
"Environment_EnvSet_ex1.ahk","Env_EnvSet_ex1.ahk","Environment_ → Env_"
"Environment_Goto_ex1.ahk","Env_Goto_ex1.ahk","Environment_ → Env_"
"Environment_Goto_ex2.ahk","Env_Goto_ex2.ahk","Environment_ → Env_"
"Environment_Goto_ex3.ahk","Env_Goto_ex3.ahk","Environment_ → Env_"
"Environment_Goto_ex4.ahk","Env_Goto_ex4.ahk","Environment_ → Env_"
"Environment_IPAddress_ex1-4.ahk","Env_IPAddress_ex1-4.ahk","Environment_ → Env_"
"Environment_OnClipboardChange_ex1.ahk","Env_OnClipboardChange_ex1.ahk","Environment_ → Env_"
"Environment_SysGet_ex1.ahk","Env_SysGet_ex1.ahk","Environment_ → Env_"
"Environment_SysGet_ex2.ahk","Env_SysGet_ex2.ahk","Environment_ → Env_"
"Environment_SysGet_ex3.ahk","Env_SysGet_ex3.ahk","Environment_ → Env_"
